scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00015_4992-1089-4970,real,0.0,3,0.12170676669694927,0.12170676669694927,0.0,0.0,0.7633051595225933,3,3,0,0,1364920,0.7633051595225933,0.0
long_00016_4970-5639-1221,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1300960,1.0,0.0
long_00016_4970-5639-1221,real,0.0,3,0.11183664370926086,0.11183664370926086,0.0,0.0,0.6910306419776294,3,3,0,0,1300960,0.6910306419776294,0.0
long_00017_4507-908-6829,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1290960,1.0,0.0
long_00017_4507-908-6829,real,0.0,3,0.11457752370329058,0.11457752370329058,0.0,0.0,0.6620439838694552,3,3,0,0,1290960,0.6620439838694552,0.0
long_00018_4970-1089-3729,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1322321,1.0,0.0
long_00018_4970-1089-3729,real,0.0,3,0.11883347538154503,0.11464765363327059,0.0,0.004185821748274436,0.8457371643900141,3,3,0,0,1322321,0.8457371643900141,0.0
long_00019_3729-5639-3570,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1439960,1.0,0.0
long_00019_3729-5639-3570,real,0.0,3,0.09753743159532209,0.08741215033750938,0.0,0.010125281257812717,0.7849419303163797,3,3,0,0,1439960,0.7849419303163797,0.0
long_00020_1284-1580-260,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1362960,1.0,0.0
long_00020_1284-1580-260,real,0.0,3,0.11200181956917298,0.11190277044080531,0.0,9.904912836767037e-05,0.7384791032383061,3,3,0,0,1362960,0.7384791032383061,0.0
long_00021_4507-260-1580,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1258481,1.0,0.0
long_00021_4507-260-1580,real,0.0,3,0.11403906773324349,0.11403906773324349,0.0,0.0,0.7336028644598311,3,3,0,0,1258481,0.7336028644598311,0.0
long_00022_1320-4992-7729,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1382800,1.0,0.0
long_00022_1320-4992-7729,real,0.0,3,0.09713624529939253,0.09713624529939253,0.0,0.0,0.817354117809353,3,3,0,0,1382800,0.817354117809353,0.0
long_00023_5639-7127-2094,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1358080,1.0,0.0
long_00023_5639-7127-2094,real,0.0,3,0.12861539820923656,0.0969051896795476,0.0,0.03171020852968897,0.825,3,3,0,0,1358080,0.825,0.0
long_00024_8224-1284-2961,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1347560,1.0,0.0
long_00024_8224-1284-2961,real,0.0,3,0.14415313603846952,0.14415313603846952,0.0,0.0,0.7283186033349297,3,3,0,0,1347560,0.7283186033349297,0.0
